block_id,block_name
0,9XX TERMINAL AVE
1,63XX WILTSHIRE ST
2,40XX W 19TH AVE
3,18XX E 3RD AVE
4,40XX W 21ST AVE
5,63XX WINDSOR ST
6,10XX ALBERNI ST
7,9XX SEYMOUR ST
8,9XX ROBSON ST
9,40XX W 27TH AVE
10,9XX NICOLA ST
11,10XX CARDERO ST
12,11XX MAINLAND ST
13,11XX HAMILTON ST
14,11XX NOOTKA ST
15,11XX HARO ST
16,10XX BROUGHTON ST
17,9XX DENMAN ST
18,9XX DAVIE ST
19,13XX FRANCES ST
20,40XX W 31ST AVE
21,64XX ARGYLE ST
22,9XX CANADA PL
23,9XX BURRARD ST
24,40XX W 34TH AVE
25,10XX BARCLAY ST
26,40XX W 35TH AVE
27,18XX E 53RD AVE
28,10XX BEACH AVE
29,11XX MAIN ST
30,40XX W 39TH AVE
31,11XX LAMEYS MILL RD
32,11XX KINGSWAY AVE
33,11XX JERVIS ST
34,40XX W 8TH AVE
35,64XX CHESTER ST
36,11XX IRONWORK PASS
37,40XX WELWYN ST
38,11XX HOWE ST
39,41XX ALEXANDRA ST
40,18XX E 6TH AVE
41,18XX E 7TH AVE
42,10XX BURNABY ST
43,64XX DUMFRIES ST
44,41XX BOUNDARY RD
45,11XX KEEFER ST
46,11XX PACIFIC BLVD
47,13XX HARO ST
48,41XX COMMERCIAL ST
49,18XX E 8TH AVE
50,41XX DUNBAR ST
51,41XX FRASER ST
52,13XX HARWOOD ST
53,41XX GLADSTONE ST
54,10XX BURRARD ST
55,18XX E GEORGIA ST
56,64XX KILLARNEY ST
57,11XX LILY ST
58,12XX ALBERNI ST
59,11XX RICHARDS ST
60,11XX WILLIAM ST
61,11XX HORNBY ST
62,11XX HOMER ST
63,11XX NELSON ST
64,11XX MCLEAN DR
65,64XX LANARK ST
66,11XX HARWOOD ST
67,64XX LARCH ST
68,41XX JOHN ST
69,64XX MACKENZIE PL
70,10XX CAMBIE ST
71,18XX E HASTINGS ST
72,10XX CHILCO ST
73,41XX MACDONALD ST
74,11XX GRANVILLE ST
75,18XX E PENDER ST
76,41XX MAIN ST
77,64XX QUEBEC ST
78,10XX COAL HARBOUR RD
79,10XX COMMERCIAL DR
80,7XX THURLOW ST
81,64XX VIVIAN ST
82,13XX HOWE ST
83,64XX WINDSOR ST
