neighbourhood_id,block_id
0,0
1,1
2,2
3,3
2,4
4,5
5,6
6,7
6,8
2,9
5,10
5,11
6,12
6,13
7,14
5,15
5,16
5,17
6,18
3,19
2,20
8,21
6,22
5,23
2,24
5,25
2,26
8,27
5,28
6,29
2,30
9,31
10,32
5,33
11,34
4,35
9,36
10,37
6,38
6,28
12,39
3,40
3,41
5,42
8,43
13,44
0,45
6,46
5,47
10,48
3,49
2,50
10,51
5,52
10,53
5,54
3,55
14,56
3,57
5,58
6,59
0,60
6,61
6,62
5,63
3,64
8,65
5,66
1,67
15,68
1,69
6,70
3,71
5,72
16,73
6,74
3,75
15,76
4,77
6,78
3,79
5,80
8,81
6,82
4,83
5,84
3,85
2,86
8,87
0,88
5,89
10,90
1,91
0,92
17,93
5,94
0,95
18,96
3,97
14,98
0,99
0,100
4,101
4,102
18,103
11,104
19,105
18,106
14,107
20,108
6,109
7,110
6,111
6,112
4,113
18,114
6,115
4,116
3,117
2,118
7,119
9,120
10,121
6,122
6,123
6,124
12,125
14,126
21,127
2,128
11,129
12,130
22,131
0,132
6,133
5,134
0,135
14,136
3,137
6,138
5,139
3,140
20,141
3,142
5,143
1,144
5,145
17,146
5,147
16,148
6,149
18,150
19,151
19,152
23,153
9,154
3,155
5,156
18,157
6,158
9,159
9,160
11,161
19,162
9,163
9,164
18,165
19,166
18,167
22,168
22,169
22,170
22,171
9,172
12,173
5,174
19,175
22,176
22,177
22,178
4,179
23,180
1,181
23,182
14,183
5,184
19,185
19,186
9,187
9,188
19,189
19,190
2,191
11,192
1,193
23,194
10,195
12,196
1,197
10,198
1,199
15,198
23,200
3,201
1,202
23,203
23,204
23,205
19,206
23,207
1,208
2,209
13,210
1,211
2,212
1,213
10,214
1,215
21,216
21,217
19,218
2,219
16,220
2,221
16,222
12,223
12,224
21,225
2,226
21,227
16,228
19,229
23,230
3,231
19,232
9,233
9,234
19,235
19,236
5,237
6,238
5,239
18,240
19,241
9,242
9,243
9,244
9,245
3,246
9,247
19,248
17,249
19,250
9,251
19,252
10,253
11,254
19,255
11,256
4,257
19,258
19,259
5,260
10,261
3,262
10,263
8,264
8,265
10,266
8,267
17,268
10,269
8,270
19,271
8,272
3,273
10,274
10,275
6,276
10,277
3,278
16,279
16,280
13,281
5,282
14,283
3,284
16,285
3,286
5,287
11,288
5,289
0,290
0,291
1,292
6,293
3,294
11,295
1,296
22,297
1,298
22,299
6,300
1,301
17,302
22,303
22,304
20,305
20,306
22,307
4,308
15,309
5,310
6,311
5,312
13,313
13,314
13,315
13,316
6,317
6,318
13,319
4,320
8,321
5,322
2,323
4,324
14,325
4,326
4,327
8,328
10,329
18,330
13,331
13,332
10,333
7,334
13,335
6,336
6,337
6,338
5,339
6,340
14,341
6,342
10,343
8,344
7,345
13,346
13,347
7,348
7,349
6,350
0,351
0,352
4,353
3,354
10,355
3,356
19,357
9,358
9,359
5,360
15,355
5,361
9,362
6,363
6,364
6,365
22,366
18,367
15,368
18,369
15,370
10,371
22,372
22,373
9,374
15,375
22,376
23,377
23,378
23,379
23,380
12,381
12,382
12,383
22,384
8,385
11,386
13,387
5,388
5,389
6,390
6,391
3,392
10,393
13,394
8,395
10,396
8,397
10,398
3,399
3,400
9,401
3,402
7,403
7,404
10,405
14,406
3,407
1,408
15,409
0,410
6,411
9,412
21,413
0,414
6,415
15,416
6,417
15,418
6,419
10,420
15,421
8,422
23,423
15,424
18,425
12,426
18,427
10,428
1,429
2,430
19,431
19,432
19,433
19,434
7,435
13,436
18,437
12,438
22,439
22,440
9,441
17,442
14,443
14,444
9,445
3,446
12,447
4,448
10,449
10,450
14,451
3,452
0,453
13,454
10,455
19,456
10,457
14,458
10,459
6,460
13,461
19,462
10,463
10,464
18,465
18,466
4,467
9,468
4,469
4,470
10,471
10,472
0,473
13,474
23,475
13,476
19,477
13,478
14,479
5,480
5,481
6,482
6,483
4,484
6,485
5,486
6,487
6,488
6,489
11,490
6,491
9,492
11,493
19,494
6,495
6,496
11,497
6,498
6,499
12,500
9,501
22,502
22,503
9,504
11,505
6,506
12,507
19,508
12,509
12,510
8,511
12,512
9,513
9,514
12,515
19,516
5,517
12,518
13,519
4,520
3,521
4,522
13,523
2,524
9,525
23,526
13,527
16,528
13,529
19,530
0,531
4,532
0,533
4,534
4,535
4,536
15,537
15,538
3,539
9,540
6,541
6,542
6,543
10,544
8,545
13,546
3,547
6,548
15,549
15,550
10,551
7,552
3,553
7,554
0,555
19,556
12,557
10,558
0,559
0,560
15,561
6,562
19,563
8,564
4,565
6,566
1,567
10,568
10,569
6,570
0,571
13,572
13,573
10,574
1,575
21,576
10,577
18,578
18,579
18,580
18,581
1,582
3,583
18,584
18,585
18,586
19,587
4,588
4,589
4,590
4,591
4,592
4,593
4,594
8,595
14,596
4,597
5,598
14,599
8,600
19,601
23,602
4,603
4,604
4,605
4,606
14,607
12,608
16,609
4,610
1,611
14,612
4,613
4,614
4,615
14,616
15,617
8,618
4,619
4,620
14,621
4,622
23,623
13,624
8,625
14,626
4,627
8,628
15,629
10,630
10,631
10,632
15,633
1,634
10,635
10,636
15,637
10,638
11,639
19,640
8,641
18,642
7,643
5,644
10,645
13,646
10,647
13,648
13,649
7,650
3,651
7,652
3,653
3,654
8,655
3,656
19,657
7,658
7,659
5,660
15,661
15,662
10,663
10,664
11,665
18,666
11,667
18,668
10,669
18,670
23,671
10,672
6,673
4,674
11,675
14,676
19,677
11,678
14,679
8,680
11,681
11,682
4,683
10,684
18,685
19,686
10,687
0,688
4,689
11,690
6,691
6,692
6,693
0,694
7,695
3,696
2,697
2,698
23,699
6,700
6,701
9,702
10,703
3,704
5,705
5,706
5,707
6,708
5,709
6,710
22,711
19,712
19,713
19,714
19,715
19,716
5,717
11,718
14,719
19,720
9,721
14,722
0,723
3,724
10,725
13,726
9,727
2,728
10,729
18,730
3,731
18,732
6,733
6,734
6,735
23,736
19,737
0,738
0,739
5,740
0,741
0,742
18,743
0,744
18,745
18,746
7,747
23,748
15,749
9,750
3,751
6,752
18,753
23,754
15,755
21,756
21,757
9,758
9,759
18,760
6,761
5,762
10,763
5,764
12,765
5,766
19,767
1,768
6,769
6,770
6,771
5,772
13,773
10,774
14,775
13,776
14,777
7,778
7,779
10,780
9,781
6,782
5,783
18,784
19,785
5,786
10,787
19,788
6,789
8,790
13,791
16,792
19,793
16,794
10,795
1,796
5,797
13,798
5,799
5,800
5,506
0,801
6,802
4,803
21,804
5,805
6,806
6,807
6,808
6,809
15,810
18,811
18,812
9,813
12,814
14,815
0,816
6,817
6,818
0,819
18,820
10,821
6,822
3,823
22,824
22,825
5,826
22,827
20,828
22,829
22,830
22,831
8,832
22,833
8,834
22,835
4,836
4,837
19,838
22,839
11,840
4,841
22,842
6,843
6,844
19,845
7,846
4,847
15,848
3,849
6,850
10,851
4,852
4,853
4,854
22,855
1,856
8,857
23,858
12,859
8,860
23,861
4,862
6,863
3,864
10,865
6,866
22,867
9,868
10,869
0,870
13,871
6,872
4,873
4,874
4,875
8,876
18,877
14,878
23,879
4,880
8,881
4,882
6,883
8,884
10,885
7,886
3,887
14,888
6,889
0,890
4,891
6,892
1,893
9,894
6,895
6,896
0,897
6,898
6,899
10,900
12,901
1,902
14,903
13,904
13,905
21,906
2,907
10,908
11,909
13,910
10,911
12,912
0,913
18,914
10,915
10,916
4,917
6,918
6,919
6,920
10,921
3,922
18,923
0,924
4,925
15,926
6,927
10,928
11,929
15,930
10,931
10,932
11,933
11,934
16,935
13,936
11,937
15,938
11,939
10,940
11,941
2,942
11,943
2,944
14,945
11,946
15,947
17,948
12,949
23,950
1,951
10,952
11,953
11,954
11,955
3,956
10,957
15,958
13,959
6,960
23,961
7,962
6,963
18,964
8,965
18,966
0,967
4,968
4,969
7,970
6,971
0,972
2,973
2,974
10,975
11,976
13,977
16,978
13,979
2,980
13,981
14,982
10,983
8,984
13,985
7,986
13,987
8,988
3,989
17,990
14,991
14,992
1,993
7,994
7,995
15,996
2,997
2,998
7,999
18,1000
7,1001
1,1002
5,1003
14,1004
7,1005
2,1006
10,1007
13,1008
3,1009
1,1010
13,1011
13,1012
8,1013
15,1014
7,1015
13,1016
19,1017
3,1018
15,1019
13,1020
3,1021
14,1022
15,1023
10,1024
5,1025
7,1026
6,1025
14,1027
3,1028
13,1029
5,1030
8,1031
13,1032
13,1033
7,1034
18,1035
7,1036
13,1037
7,1038
3,1039
13,1040
13,1041
6,1042
16,1043
6,1044
3,1045
10,1039
3,1046
23,1047
3,1048
10,1049
6,1050
7,1051
6,1052
0,1053
